name,origin,bitterness,acidity,body,sweetness,aroma,aftertaste,roast_level,flavor_tags,description
Brazil Santos,ブラジル,3.0,2.0,3.5,3.0,2.5,2.5,medium,"ナッツ, チョコレート, キャラメル",ナッツやチョコレートを思わせる甘い香りとバランスの良いコク。
Colombia Supremo,コロンビア,2.5,3.0,3.0,3.5,3.0,3.0,medium,"ナッツ, キャラメル, フローラル",ナッツとキャラメルの甘い香りとさわやかな酸味。
Ethiopia Yirgacheffe,エチオピア,1.5,4.5,2.0,3.0,4.5,4.0,light,"フローラル, ベリー, 柑橘",フローラルでベリー感のある華やかな香りと明るい酸味。
Kenya AA,ケニア,2.0,4.0,2.5,2.5,4.0,3.5,light,"ベリー, シトラス, ワイン",ベリーやシトラスの鮮やかな酸味と芳醇な香り。
Guatemala Antigua,グアテマラ,2.5,3.5,3.5,3.0,3.5,3.0,medium,"チョコレート, スパイス, キャラメル",チョコレートやスパイスの複雑な香りと豊かなコク。
Indonesia Mandheling,インドネシア,3.5,1.5,4.5,2.5,3.0,3.5,dark,"土っぽい, スパイス, チョコレート",土っぽいアーシーな香りと重厚なコク。
Costa Rica Tarrazu,コスタリカ,2.0,3.5,3.0,3.5,3.0,2.5,medium,"シトラス, ハニー, ナッツ",シトラスとハニーの甘い香りと明るい酸味。
Tanzania Peaberry,タンザニア,2.0,3.5,2.5,2.5,3.5,3.0,light,"フローラル, シトラス, ベリー",フローラルでシトラスの鮮やかな香り。
Mexico Altura,メキシコ,2.5,3.0,3.0,3.0,3.0,2.5,medium,"ナッツ, チョコレート, スパイス",ナッツとチョコレートの穏やかな香りとバランスの良い味わい。
Honduras SHG,ホンジュラス,2.5,3.0,3.5,3.5,3.0,3.0,medium,"キャラメル, ナッツ, フルーツ",キャラメルとフルーツを思わせる甘い香りと滑らかなコク。
